destination_id,name,division,category,vibe_tags,budget_level,best_season,avg_cost_bdt_per_day,instagrammability,latitude,longitude,description
0,Cox's Bazar Beach,Chattogram,beach,sunset|beach-walk|iconic,medium,winter,2500,9,21.4272,92.0058,"World's longest natural sea beach with golden sand stretching over 120km, packed sunsets and beach shacks."
1,Saint Martin's Island,Chattogram,island,island-hop|snorkel|hidden-gem,high,winter,3500,10,20.628,92.322,"BD's only coral island — turquoise water, coconut trees, and a boat ride you'll never shut up about."
2,Sajek Valley,Chattogram,hill,cloud-chasing|instagrammable|road-trip,medium,winter,2800,10,23.3833,92.2833,"The 'Queen of Hills' — resorts sit above the clouds, literally. Sunrise here breaks the internet every time."
3,Bandarban (Nilgiri & Boga Lake),Chattogram,hill,trekking|adventure|offbeat,medium,summer,3000,9,22.1953,92.2184,"Steep hill trails, a crater lake at 2,900ft, and Bawm/Marma village stays for the truly adventurous."
4,Rangamati (Kaptai Lake),Chattogram,hill,boat-ride|hanging-bridge|chill,low,winter,1800,8,22.6533,92.1785,"Boat across a massive man-made lake, cross the iconic hanging bridge, eat bamboo chicken."
5,Sundarbans,Khulna,forest,wildlife|royal-bengal-tiger|unesco,high,winter,4000,8,21.9497,89.1833,The largest mangrove forest on Earth and home of the Royal Bengal Tiger — UNESCO World Heritage Site.
6,Kuakata Sea Beach,Barishal,beach,sunrise-and-sunset|quiet|underrated,low,winter,1900,8,21.8153,90.1197,The only beach in BD where you can watch both sunrise AND sunset over the sea — way less crowded than Cox's.
7,Sylhet Tea Gardens,Sylhet,tea-garden,green-everything|instagrammable|chill,low,monsoon,1700,9,24.8949,91.8687,Endless rolling tea estates in every shade of green — Srimangal and Malnicherra are the must-see gardens.
8,Ratargul Swamp Forest,Sylhet,forest,boat-ride|hidden-gem|unique,low,monsoon,1500,9,25.0122,91.9553,The 'Amazon of Bangladesh' — a freshwater swamp forest you explore entirely by boat through submerged trees.
9,Bisnakandi,Sylhet,waterfall,crystal-water|hidden-gem|day-trip,low,monsoon,1600,9,25.1958,92.0122,"Crystal clear stream water rolling down from Meghalaya hills, framed by clouds — an easy day trip from Sylhet."
10,Jaflong,Sylhet,hill,border-view|stone-collecting|scenic,low,monsoon,1500,8,25.1622,92.0083,Stone-strewn riverbeds at the India border with the Khasi hills as a backdrop.
11,Tanguar Haor,Sunamganj,wetland,boat-house|sunrise|off-grid,medium,monsoon,2200,9,25.1167,91.1167,A massive wetland ecosystem — rent a houseboat and wake up in the middle of open water.
